"DOTA_Tooltip_ability_Primary_fire_blast"	"Primary Fire Blast"
"DOTA_Tooltip_ability_Middle_summon_immortal_sarcophagus_Description"	"Summon an immovable sarcophagus. The sarcophagus causes damage to up to 4 enemies around every 1.5 seconds during its life duration, which is related to its own attack damage.<br><br>[Phase I Upgrade]It can absorb energy and convert 50%% of the damage taken into energy. When the energy reaches 100% of the attack damage, the next time it take damage, it have a 20%% chance to release energy and cause 100%% damage. Each additional 100% attack damage accumulated will increase 70%% damage; The energy is unstable, 8%% is lost per second, and 0.3 second cooldown is available for energy release."
"DOTA_Tooltip_ability_Middle_summon_immortal_sarcophagus_Lore"	"After a long experiment, the professors of the college found that the shape of the sarcophagus can be changed and more powerful if more magic is injected into it when summon. However, there is a boundary for this approach. Beyond this boundary, no amount of magic can make it change."
"DOTA_Tooltip_ability_Middle_summon_immortal_sarcophagus_Note0"	"Note: <br>Attribute inheritance typeMaternal inheritance. <br>This type of bonus inheritance comes from the attributes of the caster.<br>Affected by Summon Strength and Summon Duration<br>Damage is considered to be caused by the caster."
"DOTA_Tooltip_ability_Middle_summon_immortal_sarcophagus_bonus_damage"	"%Inheritance of Attack Damage:"
"DOTA_Tooltip_ability_Middle_summon_immortal_sarcophagus_bonus_health"	"%Inheritance of Health:"
"DOTA_Tooltip_ability_Middle_summon_immortal_sarcophagus_bonus_armor"	"%Inheritance of Armor:"
"DOTA_Tooltip_ability_Middle_summon_immortal_sarcophagus_duration"	"Duration:"
"DOTA_Tooltip_ability_Middle_summon_immortal_sarcophagus_damage_change_rate"	"%Attack Damage Converted Rate::"
"DOTA_Tooltip_ability_Middle_summon_immortal_sarcophagus_radius"	"Effect Range:"



"DOTA_Tooltip_ability_Advanced_summon_immortal_sarcophagus"	"Advanced Summon Totem - Immortal Sarcophagus"
"DOTA_Tooltip_ability_Advanced_summon_immortal_sarcophagus_Description"	"Summon an immovable sarcophagus. The sarcophagus causes damage to up to 4 enemies around every 1.5 seconds during its life duration, which is related to its own attack damage.<br><br>[Phase I Upgrade]It can absorb energy and convert 50%% of the damage taken into energy. When the energy reaches 100% of the attack damage, the next time it take damage, it have a 20%% chance to release energy and cause 100%% damage. Each additional 100% attack damage accumulated will increase 70%% damage; The energy is unstable, 8%% is lost per second, and 0.3 second cooldown is available for energy release.<br><br>[Adaptive Upgrade System]This spell does not need to consume gold to upgrade. It will be upgraded automatically every 4 cast. This effect can break the Advanced level to 75."
"DOTA_Tooltip_ability_Advanced_summon_immortal_sarcophagus_Lore"	"This is an accident. A summoner who fascinated by this skill will use it several times every day. A long later, the sarcophagus he summoned has changed. This is also the first recorded human to master Advanced skills."
"DOTA_Tooltip_ability_Advanced_summon_immortal_sarcophagus_Note0"	"Note: <br>Attribute inheritance typeMaternal inheritance. <br>This type of bonus inheritance comes from the attributes of the caster.<br>Affected by Summon Strength and Summon Duration<br>Damage is considered to be caused by the caster.<br>You can reach level 75 only after the level of the atlas reaches level 25."
"DOTA_Tooltip_ability_Advanced_summon_immortal_sarcophagus_bonus_damage"	"%Inheritance of Attack Damage:"
"DOTA_Tooltip_ability_Advanced_summon_immortal_sarcophagus_bonus_health"	"%Inheritance of Health:"
"DOTA_Tooltip_ability_Advanced_summon_immortal_sarcophagus_bonus_armor"	"%Inheritance of Armor:"
"DOTA_Tooltip_ability_Advanced_summon_immortal_sarcophagus_duration"	"Duration:"
"DOTA_Tooltip_ability_Advanced_summon_immortal_sarcophagus_damage_change_rate"	"%Attack Damage Converted Rate::"
"DOTA_Tooltip_ability_Advanced_summon_immortal_sarcophagus_radius"	"Effect Range:"


"DOTA_Tooltip_ability_Advanced_summon_wind_element_bonus_damage"	"%Inheritance of Attack Damage:"
"DOTA_Tooltip_ability_Advanced_summon_wind_element_bonus_health"	"%Inheritance of Health:"
"DOTA_Tooltip_ability_Advanced_summon_wind_element_duration"	"Life Duration:"




"DOTA_Tooltip_modifier_Advanced_summon_immortal_sarcophagus_idle"                   "Energy"
"DOTA_Tooltip_modifier_Middle_summon_immortal_sarcophagus_idle"       "Energy" 






"DOTA_Tooltip_ability_Primary_Overload"	"Primary Overload"
"DOTA_Tooltip_ability_Primary_Overload_Description"	"When casting a spell, it will generate electric charge, which will be released during the next attack, causing damage to up to 4 enemies around the target and slowing down their attack speed and move speed."
"DOTA_Tooltip_ability_Primary_Overload_Lore"	"Modern science tells us that any object is composed of atoms, and atoms are composed of positively charged atomic nuclei and negatively charged electrons, which move around the atomic nucleus. In general, the number of positive charges in the atomic nucleus is equal to the number of negative charges in the extranuclear electron band. The atom is not electrically sensitive, so the whole object is neutral. It is difficult to change the number of positive charges in the nucleus, but the electrons outside the nucleus can get rid of the nucleus and transfer to another object, thus changing the number of negative charges in the electron band outside the nucleus. When an object loses its electrons, the total negative charge of its electrons is less than the positive charge of the atomic nucleus, indicating that it is positively charged; On the contrary, a neutral object will show negative charge when it gets electrons."
"DOTA_Tooltip_ability_Primary_Overload_Note0"	"Note: <br>Affected by state resistance, the shortest duration is 0.1 seconds.<br>Requires a cooldown of trigger spell at least 2 seconds."
"DOTA_Tooltip_ability_Primary_Overload_radius"	"Effect Range:"
"DOTA_Tooltip_ability_Primary_Overload_damage"	"Base Damage:"
"DOTA_Tooltip_ability_Primary_Overload_bonus_damage"	"Bonus Damage: Primary Attribute * "
"DOTA_Tooltip_ability_Primary_Overload_move_slow"	"Movement Speed Slow:"
"DOTA_Tooltip_ability_Primary_Overload_attack_slow"	"Attack Speed Slow:"
"DOTA_Tooltip_ability_Primary_Overload_duration"	"Duration: "




"DOTA_Tooltip_ability_Middle_Overload"	"Middle Overload"
"DOTA_Tooltip_ability_Middle_Overload_Description"	"When casting a spell, it will generate electric charge, which will be released during the next attack, causing damage to up to 4 enemies around the target and slowing down their attack speed and move speed.<br><br>[Charge Accumulation] The charge can be accumulated and retained for up to 10 stacks."
"DOTA_Tooltip_ability_Middle_Overload_Lore"	"If we do not study the basic principles of elements, we will never reach a higher position. After the development of modern science, the research of magic has also followed its pace by leaps and bounds."
"DOTA_Tooltip_ability_Middle_Overload_Note0"	"Note: <br>Affected by state resistance, the shortest duration is 0.1 seconds.<br>Requires a cooldown of trigger spell at least 2 seconds."
"DOTA_Tooltip_ability_Middle_Overload_radius"	"Effect Range:"
"DOTA_Tooltip_ability_Middle_Overload_damage"	"Base Damage:"
"DOTA_Tooltip_ability_Middle_Overload_bonus_damage"	"Bonus Damage: Primary Attribute * "
"DOTA_Tooltip_ability_Middle_Overload_move_slow"	"Movement speed Slow:"
"DOTA_Tooltip_ability_Middle_Overload_attack_slow"	"Attack Speed Slow:"
"DOTA_Tooltip_ability_Middle_Overload_duration"	"Duration: "


"DOTA_Tooltip_ability_Advanced_Overload"	"Advanced Overload"
"DOTA_Tooltip_ability_Advanced_Overload_Description"	"When casting a spell, it will generate electric charge, which will be released during the next attack, causing damage to up to 4 enemies around the target and slowing down their attack speed and move speed.<br><br>[Charge Accumulation] The charge can be accumulated and retained for up to 10 stacks.<br><br>[Wireless Charging] When there are friendly units casting spells within 800 range, you have a 20%% chance to replenish a stack of charge."
"DOTA_Tooltip_ability_Advanced_Overload_Lore"	"Wireless power transfer, wireless power transmission, wireless energy transmission, or electromagnetic power transfer is the transmission of electrical energy without wires as a physical link."
"DOTA_Tooltip_ability_Advanced_Overload_Note0"	"Note: <br>Affected by state resistance, the shortest duration is 0.1 seconds.<br>Requires a cooldown of trigger spell at least 2 seconds."
"DOTA_Tooltip_ability_Advanced_Overload_radius"	"Effect Range:"
"DOTA_Tooltip_ability_Advanced_Overload_damage"	"Base Damage:"
"DOTA_Tooltip_ability_Advanced_Overload_bonus_damage"	"Bonus Damage: Primary Attribute * "
"DOTA_Tooltip_ability_Advanced_Overload_move_slow"	"Movement speed Slow:"
"DOTA_Tooltip_ability_Advanced_Overload_attack_slow"	"Attack Speed Slow:"
"DOTA_Tooltip_ability_Advanced_Overload_duration"	"Duration: "


"DOTA_Tooltip_modifier_Primary_Overload_buff"       "Primary Overload" 
"DOTA_Tooltip_modifier_Primary_Overload_debuff"                   "Primary Overload"
"DOTA_Tooltip_modifier_Primary_Overload_debuff_Description"       "Attack speed reduced by %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%, movement speed reduced by %fMODIFIER_PROPERTY_MOVESPEED_BONUS_CONSTANT%" 

"DOTA_Tooltip_modifier_Middle_Overload_buff"       "Middle Overload" 
"DOTA_Tooltip_modifier_Middle_Overload_debuff"                   "Middle Overload"
"DOTA_Tooltip_modifier_Middle_Overload_debuff_Description"       "Attack speed reduced by %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%, movement speed reduced by %fMODIFIER_PROPERTY_MOVESPEED_BONUS_CONSTANT%" 

"DOTA_Tooltip_modifier_Advanced_Overload_buff"       "Advanced Overload" 
"DOTA_Tooltip_modifier_Advanced_Overload_debuff"                   "Advanced Overload"
"DOTA_Tooltip_modifier_Advanced_Overload_debuff_Description"       "Attack speed reduced by %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%, movement speed reduced by %fMODIFIER_PROPERTY_MOVESPEED_BONUS_CONSTANT%" 









"DOTA_Tooltip_ability_Primary_uproar"	"Primary Uproar"
"DOTA_Tooltip_ability_Primary_uproar_Description"	"Passive provides additional attack damage. Each time you take damage, you have a chance to gain a stack effect.<br><br>After active release, release the roar, reduce the speed of nearby enemies, and obtain additional attack damage and armor according to the current stack number for a period of time."
"DOTA_Tooltip_ability_Primary_uproar_Lore"	"This kind of skin provides not only armor, but also a lot of aggressiveness."
"DOTA_Tooltip_ability_Primary_uproar_bonus_damage"	"Passive Bonus Damage:"
"DOTA_Tooltip_ability_Primary_uproar_bonus_damage_per_stack"	"Roar Attack Damage Bonus per Stack:"
"DOTA_Tooltip_ability_Primary_uproar_roared_bonus_armor"	"Roar Armor Bonus per Stack:"
"DOTA_Tooltip_ability_Primary_uproar_stack_limit"	"Max Stacks: "
"DOTA_Tooltip_ability_Primary_uproar_stack_chance"	"%Stacking Probability:"
"DOTA_Tooltip_ability_Primary_uproar_move_slow_per_stack"	"Roar Move Speed Slow per Stack:"
"DOTA_Tooltip_ability_Primary_uproar_attack_slow_per_stack"	"Roar Attack Speed Slow per Stack:"
"DOTA_Tooltip_ability_Primary_uproar_slow_duration"	"Slow Duration: "
"DOTA_Tooltip_ability_Primary_uproar_radius"	"Roar Effect Range:"
"DOTA_Tooltip_ability_Primary_uproar_roar_duration"	"Roar buff Duration:"






"DOTA_Tooltip_ability_Middle_uproar"	"Middle Uproar"
"DOTA_Tooltip_ability_Middle_uproar_Description"	"Passive provides additional attack damage. Each time you take damage, you have a chance to gain a stack effect.<br><br>After active release, release the roar, reduce the speed of nearby enemies, and obtain additional attack damage and armor according to the current stack number for a period of time.<br><br>[Skin Hardening]Get 10%% damage block effect passively, and double the effect when the skill is activated actively."
"DOTA_Tooltip_ability_Middle_uproar_Lore"	"After a long time of exercise, it seems that the skin is rough."
"DOTA_Tooltip_ability_Middle_uproar_bonus_damage"	"Passive Bonus Damage:"
"DOTA_Tooltip_ability_Middle_uproar_bonus_damage_per_stack"	"Roar Attack Damage Bonus per Stack:"
"DOTA_Tooltip_ability_Middle_uproar_roared_bonus_armor"	"Roar Armor Bonus per Stack:"
"DOTA_Tooltip_ability_Middle_uproar_stack_limit"	"Max Stacks: "
"DOTA_Tooltip_ability_Middle_uproar_stack_chance"	"%Stacking Probability:"
"DOTA_Tooltip_ability_Middle_uproar_move_slow_per_stack"	"Roar Move Speed Slow per Stack:"
"DOTA_Tooltip_ability_Middle_uproar_attack_slow_per_stack"	"Roar Attack Speed Slow per Stack:"
"DOTA_Tooltip_ability_Middle_uproar_slow_duration"	"Slow Duration: "
"DOTA_Tooltip_ability_Middle_uproar_radius"	"Roar Effect Range:"
"DOTA_Tooltip_ability_Middle_uproar_roar_duration"	"Roar buff Duration:"

"DOTA_Tooltip_ability_Advanced_uproar"	"Advanced Uproar"
"DOTA_Tooltip_ability_Advanced_uproar_Description"	"Passive provides additional attack damage. Each time you take damage, you have a chance to gain a stack effect.<br><br>After active release, release the roar, reduce the speed of nearby enemies, and obtain additional attack damage and armor according to the current stack number for a period of time.<br><br>[Skin Hardening]Get 10%% damage block effect passively, and double the effect when the skill is activated actively.<br><br>[Chains]Increase the maximum number of stacks to 7"
"DOTA_Tooltip_ability_Advanced_uproar_Lore"	"With the long battle, the shackles that restrict themselves began to loosen."
"DOTA_Tooltip_ability_Advanced_uproar_bonus_damage"	"Passive Bonus Damage:"
"DOTA_Tooltip_ability_Advanced_uproar_bonus_damage_per_stack"	"Roar Attack Damage Bonus per Stack:"
"DOTA_Tooltip_ability_Advanced_uproar_roared_bonus_armor"	"Roar Armor Bonus per Stack:"
"DOTA_Tooltip_ability_Advanced_uproar_stack_limit"	"Max Stacks: "
"DOTA_Tooltip_ability_Advanced_uproar_stack_chance"	"%Stacking Probability:"
"DOTA_Tooltip_ability_Advanced_uproar_move_slow_per_stack"	"Roar Move Speed Slow per Stack:"
"DOTA_Tooltip_ability_Advanced_uproar_attack_slow_per_stack"	"Roar Attack Speed Slow per Stack:"
"DOTA_Tooltip_ability_Advanced_uproar_slow_duration"	"Slow Duration: "
"DOTA_Tooltip_ability_Advanced_uproar_radius"	"Roar Effect Range:"
"DOTA_Tooltip_ability_Advanced_uproar_roar_duration"	"Roar buff Duration:"



"DOTA_Tooltip_modifier_Primary_uproar"                   "Primary Uproar"
"DOTA_Tooltip_modifier_Primary_uproar_Description"       "Stacks" 
"DOTA_Tooltip_modifier_Primary_uproar_buff"                   "Primary Uproar"
"DOTA_Tooltip_modifier_Primary_uproar_buff_Description"       "Attack damage increased by %dMODIFIER_PROPERTY_PREATTACK_BONUS_DAMAGE%, armor increased by %dMODIFIER_PROPERTY_TOOLTIP%" 
"DOTA_Tooltip_modifier_Primary_uproar_debuff"                   "Primary Uproar"
"DOTA_Tooltip_modifier_Primary_uproar_debuff_Description"       "Movement speed reduced by %fMODIFIER_PROPERTY_MOVESPEED_BONUS_CONSTANT%" 




"DOTA_Tooltip_modifier_Middle_uproar"                   "Middle Uproar"
"DOTA_Tooltip_modifier_Middle_uproar_Description"       "Stacks" 
"DOTA_Tooltip_modifier_Middle_uproar_buff"                   "Middle Uproar"
"DOTA_Tooltip_modifier_Middle_uproar_buff_Description"       "Attack damage increased by %dMODIFIER_PROPERTY_PREATTACK_BONUS_DAMAGE%, armor increased by%dMODIFIER_PROPERTY_TOOLTIP%" 
"DOTA_Tooltip_modifier_Middle_uproar_debuff"                   "Middle Uproar"
"DOTA_Tooltip_modifier_Middle_uproar_debuff_Description"       "Movement speed reduced by %fMODIFIER_PROPERTY_MOVESPEED_BONUS_CONSTANT%" 

"DOTA_Tooltip_modifier_Advanced_uproar"                   "Advanced Uproar"
"DOTA_Tooltip_modifier_Advanced_uproar_Description"       "Stacks" 
"DOTA_Tooltip_modifier_Advanced_uproar_buff"                   "Advanced Uproar"
"DOTA_Tooltip_modifier_Advanced_uproar_buff_Description"       "Attack damage increased by %dMODIFIER_PROPERTY_PREATTACK_BONUS_DAMAGE%, armor increased by%dMODIFIER_PROPERTY_TOOLTIP%" 
"DOTA_Tooltip_modifier_Advanced_uproar_debuff"                   "Advanced Uproar"
"DOTA_Tooltip_modifier_Advanced_uproar_debuff_Description"       "Movement speed reduced by %fMODIFIER_PROPERTY_MOVESPEED_BONUS_CONSTANT%" 




"DOTA_Tooltip_modifier_Advanced_uproar_modify_1"                   "Advanced Uproar  Attack Gene Modification"
"DOTA_Tooltip_modifier_Advanced_uproar_modify_1_Description"       "Attack damage increased by %dMODIFIER_PROPERTY_PREATTACK_BONUS_DAMAGE%" 


"DOTA_Tooltip_modifier_Advanced_uproar_modify_2"                   "Advanced Uproar Defense Gene Modification"
"DOTA_Tooltip_modifier_Advanced_uproar_modify_2_Description"       "Armor increased by %dMODIFIER_PROPERTY_TOOLTIP%" 



"DOTA_Tooltip_modifier_Advanced_uproar_debuff2"                   "Uproar"
"DOTA_Tooltip_modifier_Advanced_uproar_debuff2_Description"       "Break" 







"DOTA_Tooltip_ability_Primary_pierce_the_veil"	"Primary Pierce The Veil"
"DOTA_Tooltip_ability_Primary_pierce_the_veil_Description"	"Transforming, becoming immune to physical damage. All of your attack damage is dealt as magical damage. Gain bonus attack damage and phased movement. You can attack ethereal units, but deals no damage to Magic Immune targets."
"DOTA_Tooltip_ability_Primary_pierce_the_veil_Lore"	"Taking off physical form and crossing the boundary of life and death is a skill of a higher undead factions."
"DOTA_Tooltip_ability_Primary_pierce_the_veil_Note0"	"Note:<br><font color=\"#d9534f\">Will remove other transformations.</font><br><font color=\"#5bc0de\">Affected by 30%% Positive Status Duration gain.</font>"
"DOTA_Tooltip_ability_Primary_pierce_the_veil_bonus_damage"	"Bonus Attack Damage:"
"DOTA_Tooltip_ability_Primary_pierce_the_veil_duration"	"Duration: "





"DOTA_Tooltip_ability_Middle_pierce_the_veil"	"Middle Pierce The Veil"
"DOTA_Tooltip_ability_Middle_pierce_the_veil_Description"	"Transforming, becoming immune to physical damage. All of your attack damage is dealt as magical damage. Gain bonus attack damage and phased movement. You can attack ethereal units, but deals no damage to Magic Immune targets.<br><br>[Dead Spirit Symbiosis] Summons a spirit to follow you during the duration of the effect. When you attack an enemy, it has a 25%% chance to also attack the target, but can only be triggered once every 0.3 seconds."
"DOTA_Tooltip_ability_Middle_pierce_the_veil_Lore"	"Ghosts from the underworld have no substance, but they can influence the real world according to their own will."
"DOTA_Tooltip_ability_Middle_pierce_the_veil_Note0"	"Note:<br><font color=\"#d9534f\">Will remove other transformations.</font><br><font color=\"#5bc0de\">Affected by 30%% Positive Status Duration gain.</font>"
"DOTA_Tooltip_ability_Middle_pierce_the_veil_bonus_damage"	"Bonus Attack Damage:"
"DOTA_Tooltip_ability_Middle_pierce_the_veil_duration"	"Duration: "



"DOTA_Tooltip_ability_Advanced_pierce_the_veil"	"Advanced Pierce The Veil"
"DOTA_Tooltip_ability_Advanced_pierce_the_veil_Description"	"Transforming, becoming immune to physical damage. All of your attack damage is dealt as magical damage. Gain bonus attack damage and phased movement. You can attack ethereal units, but deals no damage to Magic Immune targets.<br><br>[Dead Spirit Symbiosis] Summons a spirit to follow you during the duration of the effect. When you attack an enemy, it has a 25%% chance to also attack the target, but can only be triggered once every 0.3 seconds.<br><br>[Soul Carrier] Spell can be enabled for automatic casting. In automatic casting state, your attack will consume 5%^ of your current HP, and the attack damage will be increased by 50%^."
"DOTA_Tooltip_ability_Advanced_pierce_the_veil_Lore"	"Attaching your soul to an attack is a very crazy behavior, and you will bury yourself in the battlefield if you are not careful."
"DOTA_Tooltip_ability_Advanced_pierce_the_veil_Note0"	"Note:<br><font color=\"#d9534f\">Will remove other transformations.</font><br><font color=\"#5bc0de\">Affected by 30%% Positive Status Duration gain.</font>"
"DOTA_Tooltip_ability_Advanced_pierce_the_veil_bonus_damage"	"Bonus Attack Damage:"
"DOTA_Tooltip_ability_Advanced_pierce_the_veil_duration"	"Duration: "






"DOTA_Tooltip_modifier_Primary_pierce_the_veil_buff"                   "Primary Pierce The Veil"
"DOTA_Tooltip_modifier_Primary_pierce_the_veil_buff_Description"       "Gain Capacity enhancement" 
"DOTA_Tooltip_modifier_Middle_pierce_the_veil_buff"                   "Middle Pierce The Veil"
"DOTA_Tooltip_modifier_Middle_pierce_the_veil_buff_Description"       "Gain Capacity enhancement" 
"DOTA_Tooltip_modifier_Advanced_pierce_the_veil_buff"                   "Advanced Pierce The Veil"
"DOTA_Tooltip_modifier_Advanced_pierce_the_veil_buff_Description"       "Gain Capacity enhancement" 






"DOTA_Tooltip_ability_Primary_headshot"	"Primary Headshot"
"DOTA_Tooltip_ability_Primary_headshot_Description"	"Improves accuracy and has a certain probability of causing additional damage and temporarily reducing the target's movement speed."
"DOTA_Tooltip_ability_Primary_headshot_Lore"	"One shot"
"DOTA_Tooltip_ability_Primary_headshot_slow_duration"	"Slow Duration: "
"DOTA_Tooltip_ability_Primary_headshot_move_slow"	"Move Slow: "
"DOTA_Tooltip_ability_Primary_headshot_proc_chance"	"%Proc Chance: "
"DOTA_Tooltip_ability_Primary_headshot_bonus_damage"	"Bonus Attack Damage:"


"DOTA_Tooltip_ability_Middle_headshot"	"Middle Headshot"
"DOTA_Tooltip_ability_Middle_headshot_Description"	"Improves accuracy and has a certain probability of causing additional damage and temporarily reducing the target's movement speed.<br><br>[Long-Range Sniping] Each 100 distance from the target increases the headshot damage = 3%% of the full attack damage."
"DOTA_Tooltip_ability_Middle_headshot_Lore"	"Although being far away may reduce the power, you are also safer and can better target the enemy's weak positions."
"DOTA_Tooltip_ability_Middle_headshot_slow_duration"	"Slow Duration: "
"DOTA_Tooltip_ability_Middle_headshot_move_slow"	"Move Slow: "
"DOTA_Tooltip_ability_Middle_headshot_proc_chance"	"%Proc Chance: "
"DOTA_Tooltip_ability_Middle_headshot_bonus_damage"	"Bonus Attack Damage:"


"DOTA_Tooltip_ability_Advanced_headshot"	"Advanced Headshot"
"DOTA_Tooltip_ability_Advanced_headshot_Description"	"Improves accuracy and has a certain probability of causing additional damage and temporarily reducing the target's movement speed.<br><br>[Long-Range Sniping] Each 100 distance from the target increases the headshot damage = 3%% of the full attack damage.<br><br>[Efficient Executions] Deals 150%% headshot damage to enemies with HP below 30%%."
"DOTA_Tooltip_ability_Advanced_headshot_Lore"	"Kill him while he is ill."
"DOTA_Tooltip_ability_Advanced_headshot_slow_duration"	"Slow Duration: "
"DOTA_Tooltip_ability_Advanced_headshot_move_slow"	"Move Slow: "
"DOTA_Tooltip_ability_Advanced_headshot_proc_chance"	"%Proc Chance: "
"DOTA_Tooltip_ability_Advanced_headshot_bonus_damage"	"Bonus Attack Damage:"









"DOTA_Tooltip_ability_Primary_Spectral_Dagger"	"Primary Spectral Dagger"



"DOTA_Tooltip_ability_Primary_Spectral_Dagger_Description"	"Create %dagger_count% daggers to move irregularly around you, causing damage to colliding enemies and slowing down movement speed."
"DOTA_Tooltip_ability_Primary_Spectral_Dagger_Lore"	"The dagger in the shadow will take away the lives of mortals in the darkness, but this mortal may also be yourself."
"DOTA_Tooltip_ability_Primary_Spectral_Dagger_move_radius"	"Max Range:"
"DOTA_Tooltip_ability_Primary_Spectral_Dagger_radius"	"Damage Radius:"
"DOTA_Tooltip_ability_Primary_Spectral_Dagger_damage"	"Base Damage:"
"DOTA_Tooltip_ability_Primary_Spectral_Dagger_bonus_damage"	"Bonus Damage: AGI * "
"DOTA_Tooltip_ability_Primary_Spectral_Dagger_bonus_movespeed"	"Move Slow:"
"DOTA_Tooltip_ability_Primary_Spectral_Dagger_debuff_duration"	"Slow Duration:"


"DOTA_Tooltip_ability_Middle_Spectral_Dagger"	"Middle Spectral Dagger"
"DOTA_Tooltip_ability_Middle_Spectral_Dagger_Description"	"Create %dagger_count% daggers to move irregularly around you, causing damage to colliding enemies and slowing down movement speed.<br><br>[Double Hunting] Create an additional dagger."
"DOTA_Tooltip_ability_Middle_Spectral_Dagger_Lore"	"Do you have the confidence to block the daggers that hit both the front and back simultaneously?"
"DOTA_Tooltip_ability_Middle_Spectral_Dagger_move_radius"	"Max Range:"
"DOTA_Tooltip_ability_Middle_Spectral_Dagger_radius"	"Damage Radius:"
"DOTA_Tooltip_ability_Middle_Spectral_Dagger_damage"	"Base Damage:"
"DOTA_Tooltip_ability_Middle_Spectral_Dagger_bonus_damage"	"Bonus Damage: AGI * *"
"DOTA_Tooltip_ability_Middle_Spectral_Dagger_bonus_movespeed"	"Move Slow:"
"DOTA_Tooltip_ability_Middle_Spectral_Dagger_debuff_duration"	"Slow Duration:"

"DOTA_Tooltip_ability_Advanced_Spectral_Dagger"	"Advanced Spectral Dagger"
"DOTA_Tooltip_ability_Advanced_Spectral_Dagger_Description"	"Create %dagger_count% daggers to move irregularly around you, causing damage to colliding enemies and slowing down movement speed.<br><br>[Double Hunting] Create an additional dagger.<br><br>[Hunting Time] You can actively cast spells, create two additional daggers within 20 seconds, and increase the movement speed of the dagger by 300."
"DOTA_Tooltip_ability_Advanced_Spectral_Dagger_Lore"	"The ghost has come to you."
"DOTA_Tooltip_ability_Advanced_Spectral_Dagger_move_radius"	"Max Range:"
"DOTA_Tooltip_ability_Advanced_Spectral_Dagger_radius"	"Damage Radius:"
"DOTA_Tooltip_ability_Advanced_Spectral_Dagger_damage"	"Base Damage:"
"DOTA_Tooltip_ability_Advanced_Spectral_Dagger_bonus_damage"	"Bonus Damage: AGI * *"
"DOTA_Tooltip_ability_Advanced_Spectral_Dagger_bonus_movespeed"	"Move Slow:"
"DOTA_Tooltip_ability_Advanced_Spectral_Dagger_debuff_duration"	"Slow Duration:"





"DOTA_Tooltip_modifier_Primary_Spectral_Dagger_debuff"                   "Middle Spectral Dagger"
"DOTA_Tooltip_modifier_Primary_Spectral_Dagger_debuff_Description"       "Move speed reduced by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_CONSTANT%" 
"DOTA_Tooltip_modifier_Middle_Spectral_Dagger_debuff"                   "Primary Spectral Dagger"
"DOTA_Tooltip_modifier_Middle_Spectral_Dagger_debuff_Description"       "Move speed reduced by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_CONSTANT%" 
"DOTA_Tooltip_modifier_Advanced_Spectral_Dagger_debuff"                   "Advanced Spectral Dagger"
"DOTA_Tooltip_modifier_Advanced_Spectral_Dagger_debuff_Description"       "Move speed reduced by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_CONSTANT%" 
"DOTA_Tooltip_modifier_Advanced_Spectral_Dagger_buff"                   "Hunting time"
"DOTA_Tooltip_modifier_Advanced_Spectral_Dagger_buff_Description"       "Additional Summoning Dagger" 


//" Burning Spear"
"DOTA_Tooltip_ability_Primary_Burning_Spear"	"Primary Blazing Spear"
"DOTA_Tooltip_ability_Primary_Burning_Spear_Description"	"When health is above %limit%%, sacrifices some of its own life to ignite the weapon, causing attacks to apply persistent damage to enemies, stacking independently."
"DOTA_Tooltip_ability_Primary_Burning_Spear_Lore"	"Utilizing blood as fuel, it possesses immense penetrative power."
"DOTA_Tooltip_ability_Primary_Burning_Spear_hp_cost_pct"	"%Current Health Cost:"
"DOTA_Tooltip_ability_Primary_Burning_Spear_damage" "Damage per Second per Stack:"
"DOTA_Tooltip_ability_Primary_Burning_Spear_atb_damage" "Additional Damage per Second per Stack: Primary Attribute*"
"DOTA_Tooltip_ability_Primary_Burning_Spear_duration"	"Duration:"

"DOTA_Tooltip_ability_Middle_Burning_Spear"	"Middle Blazing Spear"
"DOTA_Tooltip_ability_Middle_Burning_Spear_Description"	"When health exceeds %limit%%, consumes life to imbue the weapon with flame, causing attacks to apply persistent damage to foes, stacking independently.<br><br>[Triumph] Upon slaying a burning unit, restores %hplose_heal%% of lost health."
"DOTA_Tooltip_ability_Middle_Burning_Spear_Lore"	"With blood forged spear, victory shall be mine."
"DOTA_Tooltip_ability_Middle_Burning_Spear_hp_cost_pct"	"%Current Health Cost:"
"DOTA_Tooltip_ability_Middle_Burning_Spear_damage" "Damage per Second per Stack:"
"DOTA_Tooltip_ability_Middle_Burning_Spear_atb_damage" "Additional Damage per Second per Stack: Primary Attribute*"
"DOTA_Tooltip_ability_Middle_Burning_Spear_duration"	"Duration:"

"DOTA_Tooltip_ability_Advanced_Burning_Spear"	"Advanced Blazing Spear"
